name,region,Beginner Runs,Intermediate Runs,Advanced Runs,Expert Runs,Runs,KM Pistes,base_alt,summit_alt,lifts,skiPass_max,reg
ADELBODEN,bernese-oberland,0,48,42,10,108,210,1068,2362,70,64,bernese-oberland
AESCHI,bernese-oberland,0,42,41,17,5,12,859,1400,4,33,bernese-oberland
AIROLO,ticino,0,3,50,47,0,30,1175,2250,8,45,Other
ALETSCH ARENA,valais,0,40,48,12,56,104,1845,2869,36,60,valais
AMDEN,eastern-switzerland,0,92,8,0,12,20,1e3,1684,8,35,Other
ANZÈRE,valais,0,21,64,16,14,58,1423,2462,14,52,valais
AROLLA,valais,0,43,38,19,12,47,2003,2889,6,40,valais
AROSA LENZERHEIDE,graubunden,3,60,27,9,117,225,1240,2865,43,75,graubunden
ATZMÄNNIG GOLDINGEN,eastern-switzerland,0,40,60,0,10,8,840,1200,4,35,Other
AVERS,graubunden,0,25,6,69,0,8,2e3,2600,3,32,graubunden
BEATENBERG,bernese-oberland,0,25,75,0,4,30,1120,1950,4,40,bernese-oberland
BECKENRIED - KLEWENALP,central-switzerland,0,12,12,59,17,40,1600,2001,17,51,Other
BELALP - BLATTEN - NATERS,valais,0,33,34,33,22,60,1322,3112,6,56,valais
BELLWALD,valais,0,29,57,14,13,35,1680,2600,4,51,valais
BERGÜN - BRAVUOGN,graubunden,0,14,76,11,6,25,1400,2500,5,43,graubunden
BIVIO,graubunden,0,33,33,0,9,5,1769,2560,4,39,graubunden
BOLTIGEN,bernese-oberland,0,20,70,10,8,20,1508,1683,3,33,bernese-oberland
BRAUNWALD,eastern-switzerland,0,56,31,13,6,32,1256,1900,13,48,Other
BRIENZ - AXALP,bernese-oberland,0,60,30,10,9,20,1400,2e3,6,46,bernese-oberland
BRIGELS - BREIL,graubunden,0,83,8,8,12,25,1100,2418,9,56,graubunden
BRUNNI - ALPTHAL,central-switzerland,0,58,42,0,12,15,1100,1405,7,38,Other
BRUSON ET VAL DE BAGNES,valais,0,48,21,31,12,48,1500,2220,6,47,valais
BUGNENETS - SAVAGNIÈRES,neuchatel,0,27,40,33,14,30,1160,1450,7,36,Other
BULLE - LA CHIA,fribourg,0,100,0,0,2,3,786,1300,2,20,Other
BUMBACH SCHANGNAU,schweizer-mittelland,0,50,50,0,6,6,920,1365,3,33,Other
